part_number,manufacturer,condition,price,quantity,status,description
9U2J8EA,Hewlett-Packard,NEW,641.05,128,ON-SITE,HP 24-cr0312nw AMD Ryzen™ 5 7520U 60.5 cm (23.8 ) 1920 x 1080 px All-in-One PC 16 GB LPDDR5-SDRAM 512 GB SSD Windows 11 Home Wi-Fi 6 (802.11ax) White
9L736EA,Hewlett-Packard,NEW,644.78,116,ON-SITE,HP 27-cr0204nw AMD Ryzen™ 7 7730U 68.6 cm (27 ) 1920 × 1080 px All-in-One PC 16 GB DDR4-SDRAM 512 GB SSD Free DOS Wi-Fi 6 (802.11ax) White
9U2J8EA,Hewlett-Packard,NEW,620.85,56,ON-SITE,HP 24-cr0312nw AMD Ryzen™ 5 7520U 60.5 cm (23.8 ) 1920 x 1080 px All-in-One PC 16 GB LPDDR5-SDRAM 512 GB SSD Windows 11 Home Wi-Fi 6 (802.11ax) White
C64TBEA,Hewlett-Packard,NEW,737.11,39,ON-SITE,HP Next Gen AI 27-ct2004nw Copilot+ PC AMD Ryzen AI 5 330 68 6 cm (27 ) 1920 x 1080 px All-in-One PC 16 GB DDR5-SDRAM 512 GB SSD Windows 11 Home Wi-Fi 6 (802.11ax) White
B6ZB8ET,Hewlett-Packard,NEW,761.91,31,ON-SITE,HP ProOne 245 G10 Desktop PC AMD Ryzen™ 7 7730U 60 5 cm (23.8 ) 1920 x 1080 px 16 GB DDR4-SDRAM 512 GB SSD Windows 11 Pro Wi-Fi 6 (802.11ax)
P440VAK-BPCH21X,ASUS,NEW,889.4,30,ON-SITE,ASUS AIO P440VAK-BPCH21X Core 5 210H 23.8 FHD 100Hz 250 nits AG 16GB DDR5 SSD512 Intel Graphics WLAN+BT Cam1080p W11Pro Black 3Y OnSite
B6ZB7ET,Hewlett-Packard,NEW,750.82,26,ON-SITE,HP ProOne 245 G10 Desktop PC AMD Ryzen™ 7 7730U 60 5 cm (23.8 ) 1920 x 1080 px 16 GB DDR4-SDRAM 512 GB SSD Windows 11 Pro Wi-Fi 6 (802.11ax) Grey
PRO AP272P 14M-495EU,MSI,NEW,1173.68,23,ON-SITE,MSI Pro AP272P Intel® Core™ i7 68.6 cm (27 ) 1920 x 1080 pixels All-in-One PC 16 GB DDR5-SDRAM 1 TB SSD Windows 11 Pro Wi-Fi 6 (802.11ax) Black
Modern AM242P 1M-2274EU,MSI,NEW,864.02,23,ON-SITE,MSI AIO Modern AM242P 1M-2274EU Core 5 120U 23 8 IPS LED FHD Non-Touch AG 16GB SSD512 M.2 AX211 WiFi 6E W11Pro Black 3Y
Modern AM272P 1M-855EU,MSI,NEW,919.85,23,ON-SITE,MSI Modern AM272P 1M-855EU Intel Core 5 120U 68.6 cm (27 ) 1920 x 1080 pixels All-in-One PC 16 GB DDR5-SDRAM 512 GB SSD Windows 11 Pro Wi-Fi 6E (802.11ax) Black
