part_number,manufacturer,condition,price,quantity,status,description
BL1850B,MAKITA,NEW,62.85,200,ON-SITE,Makita 197280-8 cordless tool battery / charger
197422-4,MAKITA,NEW,75.56,153,ON-SITE,Makita BL1860B 18V power tool battery
YT-828463,YATO,NEW,26.34,97,ON-SITE,Accumulator 18V Li-ION 4 0Ah YT-828463 YATO
SFMCB204-XJ,STANLEY,NEW,43.38,89,ON-SITE,Stanley SFMCB204-XJ cordless tool battery / charger
BL5018-XJ,BLACK+DECKER,NEW,42.04,83,ON-SITE,Black & Decker BL5018 Battery
BL2518-XJ,BLACK+DECKER,NEW,25.77,73,ON-SITE,Black+Decker BL2518-XJ 18 V 2.5 Ah power tool battery
BDL2018S-XJ,BLACK+DECKER,NEW,17.66,67,ON-SITE,BLACK+DECKER 18V 2.0Ah battery BDL2018S
5133005053,RYOBI,NEW,55.19,27,ON-SITE,Li-Ion Battery 4.0 Ah 18V RYOBI RB1840X
DCB126-XJ,DeWalt,NEW,48.49,17,ON-SITE,DeWALT DCB126-XJ cordless tool battery / charger
DCB184-XJ,DeWalt,NEW,53.93,9,ON-SITE,DeWALT DCB184-XJ cordless tool battery / charger
2.445-031.0,KARCHER,NEW,143.2,8,ON-SITE,Kärcher 2.445-031.0 cordless tool battery / charger
DCB1104P2-QW,DeWalt,NEW,153.45,49,ON-SITE,DeWalt DCB1104P2-QW Set charger DCB1104 + 2 batteries DCB184 18 V 5 Ah
2.445-064.0,KARCHER,NEW,148.97,18,ON-SITE,Kärcher Power 36/25 Cylinder vacuum Battery & charger set
2.445-063.0,KARCHER,NEW,99.61,11,ON-SITE,Kärcher Power 18/50 Cylinder vacuum Battery & charger set
6.296-225.0,KARCHER,NEW,6.86,200,ON-SITE,Kärcher RM 626N 1000 ml Liquid (ready to use)
6.296-226.0,KARCHER,NEW,6.18,200,ON-SITE,Kärcher RM 610N 1000 ml Liquid (ready to use)
8002617007412,BIALETTI,NEW,12.39,133,ON-SITE,Bialetti DCDESIGN08 heat diffuser 1 pc(s)
4977642730465,HARIO,NEW,4.93,105,ON-SITE,HARIO V60-02 Clear Plastic Drip
25703,LEIFHEIT,NEW,15.93,89,ON-SITE,Leifheit 25703 paper towel holder Wall-mounted paper towel holder Grey White
88383,Medisana,NEW,27.82,89,ON-SITE,Mat for Bubble Bath MBH/BBS Medisana silver
6.295-474.0,KARCHER,NEW,6.31,51,ON-SITE,GLASS CLEANER 3IN1 KARCHER RM 627 - 1L
2.633-130.0,KARCHER,NEW,8.73,28,ON-SITE,MICROFIBRE PAD FOR WV YELLOW KARCHER - 2.633-130.0
4977642020290,HARIO,NEW,24.89,24,ON-SITE,Bialetti 0006367 coffee maker part/accessory Coffee filter
V60-01,HARIO,NEW,3.93,18,ON-SITE,HARIO V60-01 Clear Plastic Drip
6.295-842.0,KARCHER,NEW,7.14,16,ON-SITE,PATIO&DECK CLEANER KARCHER RM 564 - 500ML
FIC-70-MC,HARIO,NEW,18,16,ON-SITE,HAIRO Cold Brew Tea Bottle with Filter
2.863-329.0,KARCHER,NEW,9.65,16,ON-SITE,Kärcher 2.863-329.0 steam cleaner accessory Roller
6.296-227.0,KARCHER,NEW,9.95,14,ON-SITE,Stone & Facade Cleaner KARCHER RM 611 1l (6.296-227.0)
6.295-358.0,KARCHER,NEW,11.13,13,ON-SITE,KARCHER PLASTIC CLEANER RM 625 - 5L
V60-02,HARIO,NEW,16.22,12,ON-SITE,HARIO V60-02 White Ceramic Drip
6.295-743.0,KARCHER,NEW,5.9,9,ON-SITE,ULTRA FOAM 3 IN 1 KARCHER RM 615 - 1L
6.295-875.0,KARCHER,NEW,8.38,9,ON-SITE,KARCHER LIQUID SKIMMER - 125ML FRUIT
163253,VILEDA,NEW,8.43,33,ON-SITE,Ironing Board Cover Vileda Rapid
172219,VILEDA,NEW,8.62,15,ON-SITE,Ironing Board Cover Vileda Park&Go
172208,VILEDA,NEW,8.62,9,ON-SITE,Ironing Board Cover Vileda Comfort Plus
2.863-018.0,KARCHER,NEW,10.47,59,ON-SITE,Descaler filter in cartridge for KARCHER SC 3
2.863-339.0,KARCHER,NEW,13.54,6,ON-SITE,Kärcher Universal floor cloth set EasyFix Mop disposable cloth White Yellow
1051753,BRITA,NEW,8.55,200,ON-SITE,Brita MX+ Pro Pure Performance filter 2 pcs
1051755,BRITA,NEW,12.73,200,ON-SITE,Brita MX+ Pro Pure Performance filter 3 pcs
1051759,BRITA,NEW,15.99,200,ON-SITE,Brita MX+ Pro Pure Performance filter 3+1 pcs
1051763,BRITA,NEW,23.52,200,ON-SITE,Brita MX+ Pro Pure Performance filter 5+1 pcs
1051765,BRITA,NEW,4.55,200,ON-SITE,Brita Maxtra Pro Hard Water Expert filter 1 pc
1051750,BRITA,NEW,4.32,200,ON-SITE,Brita MX+ Pro Pure Performance filter 1 pcs
1051769,BRITA,NEW,13.43,186,ON-SITE,Brita Maxtra Pro Hard Water Expert filter 3 pc
1051767,BRITA,NEW,9.03,95,ON-SITE,Brita Maxtra Pro Hard Water Expert filter 2 pc
1051773,BRITA,NEW,17.49,13,ON-SITE,Brita Maxtra Pro Hard Water Expert filter 3+1 pc
SER3017/ DLSC002,DeLonghi,NEW,6.53,200,ON-SITE,Filter for espresso machine DeLonghi SER3017 / DLS C002
CA6903/10,Philips,NEW,10.13,171,ON-SITE,Philips Same as CA6903/00 Calc and Water filter
F08801,Krups,NEW,10.38,145,ON-SITE,Krups F08801 coffee maker part/accessory Water filter
TZ70003,Siemens,NEW,8.32,29,ON-SITE,Siemens TZ70003 water filter
5513296011,DeLonghi,NEW,5.08,200,ON-SITE,De’Longhi EcoDecalk 2x100ml Coffee makers 100 ml
754631600800,URNEX,NEW,13.52,185,ON-SITE,Urnex Grindz Grinder cleaning granules 430g
FR00013_1000,FRISCHER,NEW,6.44,135,ON-SITE,Kettle and coffee machine descaler Frischer 1l (concentrate)
XS3000,Krups,NEW,7.54,131,ON-SITE,Krups XS300010 home appliance cleaner Coffee makers
TZ80001B,Siemens,NEW,7.59,100,ON-SITE,Siemens TZ80001N home appliance cleaner Coffee makers
CA6704/10,Philips,NEW,4.07,75,ON-SITE,Philips Same as CA6704/60 Coffee oil remover tablets
12-E31-UX100-12,URNEX,NEW,7.82,71,ON-SITE,Urnex Cafiza E31 Cleaning tablet
754631704256,URNEX,NEW,8.08,54,ON-SITE,Urnex Rinza Milk frother cleanser 1 1l
TZ80002B,Siemens,NEW,7.62,39,ON-SITE,Siemens TZ80002 coffee maker part/accessory
FR00016_60_2g,FRISCHER,NEW,5.6,8,ON-SITE,Frischer coffee machine cleaning tablets 60 pcs.
FR00016_100,FRISCHER,NEW,7.34,3,ON-SITE,Cleaning tablets for coffee machines Frischer 100 pieces blister pack 1.3 g 16 mm diameter
FR00013_250,FRISCHER,NEW,3.21,2,ON-SITE,Descaler for automatic coffee machines Frischer 0 25l (concentrate)
1052398,BRITA,NEW,16.5,192,ON-SITE,Replacement cartridge Brita ON TAP V-MF (CU CE2)
1052385,BRITA,NEW,13.26,29,ON-SITE,Replacement cartridge Brita ON TAP V (CU CE2)
1052076,BRITA,NEW,51.36,25,ON-SITE,Brita ON TAP PRO V-MF Tap Filter System
1009277,BRITA,NEW,68.22,14,ON-SITE,Filter Cartridge for tap system Brita P3000
1052067,BRITA,NEW,33.3,12,ON-SITE,Brita ON TAP V CU CE2 Tap Filter System
QP410/50,Philips,NEW,13.29,200,ON-SITE,Philips Norelco OneBlade OneBlade QP410/50 Replacement blade
QP420/50,Philips,NEW,16.8,192,ON-SITE,Philips Norelco OneBlade OneBlade 360 QP420/50 Replacement blade 2 pack
QP225/50,Philips,NEW,15.93,162,ON-SITE,Philips Norelco OneBlade OneBlade QP225/50 Replacement blade
QP420/50,Philips,NEW,16.53,35,ON-SITE,Philips Norelco OneBlade OneBlade 360 QP420/50 Replacement blade 2 pack
L9846153,Tefal,NEW,15.27,20,ON-SITE,Pokrywka szklana TEFAL Ingenio 16 cm L9846153
L9846253,Tefal,NEW,18.01,20,ON-SITE,Pokrywka szklana TEFAL Ingenio 18 cm L9846253
L9846653,Tefal,NEW,19.81,20,ON-SITE,Pokrywka szklana TEFAL Ingenio 26 cm L9846653
FR00055,FRISCHER,NEW,2.34,6,ON-SITE,Frischer refrigerator odour absorber
SCG4011TW,Xiaomi,NEW,26.59,200,ON-SITE,Xiaomi Mi Air Purifier Filter Antibacterial
DXVCS002,DeWalt,NEW,59.42,151,ON-SITE,DEWALT DXVCS002 Cyclone Dust Collector
DXVCS003,DeWalt,NEW,72.15,68,ON-SITE,DEWALT 38L DXVCS003 Cyclone Dust Collector
2.863-005.0,KARCHER,NEW,12.04,28,ON-SITE,Kärcher 2.863-005.0 vacuum accessory/supply
2.863-301.0,KARCHER,NEW,2.86,25,ON-SITE,HEPA filter KARCHER 12 VC 4i 2.863-301.0
2.863-239.0,KARCHER,NEW,10.28,23,ON-SITE,Kärcher 2.863-239 vacuum accessory/supply Handheld vacuum Filter
2.863-319.0,KARCHER,NEW,8.84,12,ON-SITE,Kärcher 2.863-319.0 vacuum accessory/supply Filter
2.863-238.0,KARCHER,NEW,9.37,11,ON-SITE,Kärcher 2.863-238.0 vacuum accessory/supply Cylinder vacuum Filter
BBZ153HF,BOSCH,NEW,8.4,11,ON-SITE,Bosch BBZ153HF vacuum accessory/supply
6.414-963.0,KARCHER,NEW,14.04,9,ON-SITE,Kärcher 6.414-963.0 vacuum accessory/supply
2.863-312.0,KARCHER,NEW,7.21,1,ON-SITE,Filter set for Kärcher VC 4 Cordless hoover (2.863-312.0)
2.863-327.0,KARCHER,NEW,12.24,1,ON-SITE,Cartridge filter KARCHER for the WD 1 and WD 1 Classic workshop vacuum cleaners (2.863-327.0)
2.863-401.0,KARCHER,NEW,18.14,41,ON-SITE,Limescale cleaning roller for KARCHER KFL 1 FCV 2 FCV 3 - 2.863-401.0
2.863-260.0,KARCHER,NEW,14.39,11,ON-SITE,Kärcher Parquet nozzle
2.863-398.0,KARCHER,NEW,6.73,10,ON-SITE,Kärcher 2.863-398.0 vacuum accessory/supply Nozzle Universal
2.863-322.0,KARCHER,NEW,50.59,9,ON-SITE,Kärcher 2.863-322.0 vacuum accessory/supply Nozzle Stick vacuum
2.863-316.0,KARCHER,NEW,11.13,3,ON-SITE,Kärcher 2.863-316.0 vacuum accessory/supply Nozzle Universal
2.863-264.0,KARCHER,NEW,8.34,52,ON-SITE,Kärcher 2.863-264.0 steam cleaner accessory Brush kit
2.055-006.0,KARCHER,NEW,15.86,38,ON-SITE,Kärcher 2.055-006.0 vacuum accessory/supply Handheld vacuum Roller brush set
2.863-356.0,KARCHER,NEW,22.05,17,ON-SITE,Kärcher 2.863-356.0 vacuum accessory/supply Brush Cylinder vacuum
2.863-090.0,KARCHER,NEW,32.72,13,ON-SITE,Kärcher 2.863-090.0 vacuum accessory/supply Turbo brush Handheld vacuum
BHZUHFN,BOSCH,NEW,62.87,4,ON-SITE,Bosch BHZUHFN vacuum accessory/supply Nozzle Handheld vacuum
2.863-289.0,KARCHER,NEW,10.85,2,ON-SITE,Car cleaning kit Car Cleaning Set KARCHER for VC 4 Cordless
BBZWD4BAG,BOSCH,NEW,4.26,72,ON-SITE,Bosch BBZWD4BAG vacuum accessory/supply Cylinder vacuum Dust bag
6.904-322.0,KARCHER,NEW,7.2,68,ON-SITE,Kärcher 6.904-322.0 vacuum accessory/supply
2.863-236.0,KARCHER,NEW,9.13,68,ON-SITE,Kärcher 2.863-236 vacuum accessory/supply Handheld vacuum Filter
604015,Numatic,NEW,10.66,45,ON-SITE,Numatic HEPA-flo NVM1CH 9L bags for vacuum cleaners Henry Hetty Harry 10 pcs
BBZAFGALL,BOSCH,NEW,9.55,29,ON-SITE,Bosch BBZAFGALL vacuum accessory/supply Universal Dust bag
FC8022/04,Philips,NEW,8.53,1,ON-SITE,Philips s-bag Vacuum cleaner bags FC8022/04
2.863-234.0,KARCHER,NEW,17.77,15,ON-SITE,KARCHER Dust Extractor for (W&D 2 - W&D 6) - 2.863-234.0
FR00068,FRISCHER,NEW,2.52,3,ON-SITE,Fragrance refill for vacuum cleaner mix of 5 fragrances Frischer 5 pcs.
36801-000-0,ZWILLING,NEW,43.01,27,ON-SITE,Vacuum pump ZWILLING FRESH & SAVE - 19 cm white 36801-000-0
VS1199X,FoodSaver,NEW,49.13,5,ON-SITE,FoodSaver VS1199X manual vacuum sealer
36800-220-0,ZWILLING,NEW,9.54,47,ON-SITE,Vacuum Bag Set Zwilling Fresh & Save - 35 cm 36800-220-0
FSB3202-I,FoodSaver,NEW,17.05,2,ON-SITE,FoodSaver Vacuum packaging bags 32 pc(s)
FSR2802-I,FoodSaver,NEW,16.51,2,ON-SITE,FoodSaver FSR2802 vacuum sealer accessory Vacuum sealer roll
AT340,KENWOOD,NEW,85.58,67,ON-SITE,Attachment Kenwood AT340
MFZ4060,BOSCH,NEW,17.34,12,ON-SITE,Bosch MFZ4060 mixer/food processor accessory
MUZ 5PP1,BOSCH,NEW,111.36,6,ON-SITE,Bosch MUZ5PP1 mixer/food processor accessory
MUZ45LS2,BOSCH,NEW,11.7,6,ON-SITE,Bosch MUZ45LS2 mincer accessory
MUZ5EB2,BOSCH,NEW,61.92,5,ON-SITE,Bosch MUZ5EB2 mixer/food processor accessory
MUZ 45XCG1,BOSCH,NEW,46.66,4,ON-SITE,Bosch MUZ45XCG1 mixer/food processor accessory
MUZ5NV1,BOSCH,NEW,67.84,4,ON-SITE,Bosch MUZ5NV1 pasta/ravioli maker accessory 1 pc(s) Chrome Steel
MUZ9ER1,BOSCH,NEW,52.92,4,ON-SITE,Bosch MUZ9ER1 mixing bowl
MUZS2BS,BOSCH,NEW,63.22,4,ON-SITE,Bosch MUZS2BS mincer accessory
MUZS2EB,BOSCH,NEW,65.65,4,ON-SITE,Bosch MUZS2EB ice cream maker 0.55 L White
MUZS2ER,BOSCH,NEW,46.97,4,ON-SITE,Bosch MUZS2ER mixer/food processor accessory Bowl
MUZ5ZP1,BOSCH,NEW,14.89,4,ON-SITE,Bosch MUZ5ZP1 mixer/food processor accessory
MUZ 45XTM1,BOSCH,NEW,73.21,3,ON-SITE,Bosch MUZ45XTM1 blender accessory
MUZ 5NV3,BOSCH,NEW,65.58,3,ON-SITE,Bosch MUZ5NV3 pasta/ravioli maker accessory 1 pc(s) Chrome Steel Spaghetti attachment
MUZ 5BS1,BOSCH,NEW,58.32,3,ON-SITE,Bosch MUZ5BS1 food processor White
MUZ45PS1,BOSCH,NEW,9.59,2,ON-SITE,Bosch MUZ45PS1 mixer/food processor accessory
MUZ9PP2,BOSCH,NEW,24.83,2,ON-SITE,Bosch MUZ9PP2 mincer accessory
MUZ9SV1,BOSCH,NEW,12.04,2,ON-SITE,Bosch MUZ9SV1 mixer/food processor accessory
MUZ5FW1,BOSCH,NEW,47.38,1,ON-SITE,Bosch MUZ5FW1 mixer/food processor accessory
2.269-641.0,KARCHER,NEW,17.87,10,ON-SITE,Kärcher 2.269-641.0 vacuum accessory/supply Accessory kit Robot vacuum
2.269-643.0,KARCHER,NEW,192.49,3,ON-SITE,Kärcher Suction station RCV 5
QP936/50,Philips,NEW,24.1,54,ON-SITE,Philips Norelco OneBlade QP936/50 shaver accessory Shaving head
HX9042/87,Philips,NEW,15.2,43,ON-SITE,Philips Premium Plaque Defence HX9042/87 2-pack brush heads
HS740/15,Philips,NEW,26.81,35,ON-SITE,Philips HS740 Blade Refill HS740/15 Replacement electric shaving heads
ORO-SONIC WHITE,oromed,NEW,6.77,33,ON-SITE,Oromed ORO-SONIC WHITE sonic toothbrush heads 2 pieces
QP440/50,Philips,NEW,29.19,25,ON-SITE,Philips Norelco OneBlade OneBlade QP440/50 360 Replacement blade
HX9055/88,Philips,NEW,36.41,14,ON-SITE,Philips Premium Gum Care HX9055/88 5-pack brush heads
HX6066/87,Philips,NEW,25.11,11,ON-SITE,Philips Optimal White HX6066/87 6-pack brush heads
HX9055/87,Philips,NEW,34.71,8,ON-SITE,Philips Premium Gum Care HX9055/87 5-pack brush heads
FR00019_500,FRISCHER,NEW,2.21,16,ON-SITE,Frischer dishwasher rinse aid 0.5l
FR00206_20_16g,FRISCHER,NEW,6.11,7,ON-SITE,Frischer dishwasher cleaning tablets 20 pcs.
FR00020_250,FRISCHER,NEW,2.04,3,ON-SITE,Frischer Dishwasher Cleaner 0.25l
FR00101_1200,FRISCHER,NEW,2.27,20,ON-SITE,Frischer dishwasher salt 1.2 kg
CR 4519,Adler,NEW,17.54,3,ON-SITE,Camry Premium CR 4519 yogurt maker 1.4 L 20 W
1039628,BRITA,NEW,8.74,37,ON-SITE,Water Filter Discs Brita MicroDisc 3 pc(s)
1052264,BRITA,NEW,9.6,8,ON-SITE,Brita Vital peach 2-disc filter bottle
1052251,BRITA,NEW,8.97,7,ON-SITE,Brita Active green 2-disc filter bottle
PF611838,Tefal,NEW,161.4,32,ON-SITE,Tefal PF611838 bread maker 1600 W Black
PF610138,Tefal,NEW,138.89,32,ON-SITE,Tefal PF610138 bread maker 1600 W White
ES9140020B,BLACK+DECKER,NEW,68.32,1,ON-SITE,Breadmaking machine Black+Decker BXBM600E
TWK3P420,BOSCH,NEW,35.37,162,ON-SITE,Bosch TWK3P420 electric kettle 1.7 L 2400 W Black Stainless steel
HD9318/00,Philips,NEW,21.48,146,ON-SITE,Philips HD9318/00 electric kettle 1.7 L 2200 W White
HD9318/20,Philips,NEW,21.21,105,ON-SITE,Philips HD9318/20 electric kettle 1.7 L 2200 W Black
RK3304,CONCEPT,NEW,45.13,94,ON-SITE,CONCEPT Electric Kettle RK3304
TWK70B03,BOSCH,NEW,42.97,94,ON-SITE,Bosch TWK70B03 electric kettle 1.7 L 2400 W Black Transparent
MR-067,Maestro,NEW,23.1,94,ON-SITE,Feel-Maestro MR067 electric kettle 1.2 L 1200 W White
MR-080N,Maestro,NEW,29.91,71,ON-SITE,Water heater MAESTRO MR-080N 750W 4.5 L
KLF04BLEU,SMEG,NEW,134.37,68,ON-SITE,Smeg 50's Style Kettles KLF04BLEU Black
MR-068-FLOWERS,Maestro,NEW,24.28,65,ON-SITE,Ceramic electric kettle MAESTRO MR-068 1 5L 1500W (MR-068-FLOWERS)
MR-035-BLACK,Maestro,NEW,10.86,65,ON-SITE,MAESTRO electric kettle 1 7 l MR-035-BLACK
MR-024-GREY,Maestro,NEW,18.05,65,ON-SITE,Maestro MR-024-GREY electric kettle
MR-066 red,Maestro,NEW,23.43,64,ON-SITE,Feel-Maestro MR-066-RED FLOWERS electric kettle 1.5 L 1200 W Red White
1230000201308,FELLOW,NEW,126.01,63,ON-SITE,Fellow Corvo EKG PRO electric kettle matte black
KO2508,Tefal,NEW,27.11,60,ON-SITE,Tefal KO2508 electric kettle 1.7 L 2400 W
1230000201384,FELLOW,NEW,158.76,59,ON-SITE,FELLOW STAGG EKG PRO BLACK MATT ELECTRIC KETTLE
KLF04RDEU,SMEG,NEW,134.3,58,ON-SITE,Smeg 50's Style Kettles KLF04RDEU Red
MR-010,Maestro,NEW,7.92,57,ON-SITE,Feel-Maestro MR010 electric kettle 0.6 L Blue White 600 W
MR-029New,Maestro,NEW,12.75,57,ON-SITE,Electric kettle MAESTRO MR-029NEW 1l Stainless steel 1600 W
KO693110,Tefal,NEW,38.36,55,ON-SITE,Tefal Sense KO6931 electric kettle 1.5 L 1800 W White
MR-027,Maestro,NEW,13.01,54,ON-SITE,MAESTRO MR-027 electric kettle 1.2 L 1630 W Steel Black
MR-009-MINT,Maestro,NEW,12.81,53,ON-SITE,Electric kettle / travel pot Maestro MR-009 0.8 L 600 W (MR-009-MINT) Mint
MR-023-WHITE,Maestro,NEW,17.9,53,ON-SITE,Electric kettle Maestro MR-023 (MR-023-WHITE) White
KLF03RDEU,SMEG,NEW,113.4,53,ON-SITE,Smeg 50's Style Kettles KLF03RDEU Red
MR-065-BEIGE,Maestro,NEW,12.66,51,ON-SITE,Maestro MR-065 electric kettle 1.7 L 2200 W (MR-065-BEIGE) Beige
MR-012-BEIGE,Maestro,NEW,9.24,51,ON-SITE,MAESTRO MR-012-BEIGE electric kettle 1 L 1100 W Beige White
MR-024-WHITE,Maestro,NEW,18.19,49,ON-SITE,Electric kettle Maestro MR-024 (MR-024-WHITE) White
KLF03WHEU,SMEG,NEW,113.82,49,ON-SITE,Smeg 50's Style Kettles KLF03WHEU White
MR-022-BLACK,Maestro,NEW,11.33,48,ON-SITE,Maestro MR-022 electric kettle 2.2 L 2200 W (MR-022-BLACK) Black
KLF03BLEU,SMEG,NEW,109.63,48,ON-SITE,Smeg 50's Style Kettles KLF03BLEU Black
MR-084,Maestro,NEW,29.09,48,ON-SITE,Maestro MR-084 steamer pot 4.5 L Stainless steel White
MR-081,Maestro,NEW,32.07,48,ON-SITE,Water Boiler MAESTRO MR-081 4.5 L 750 W
MR-072,Maestro,NEW,26.06,47,ON-SITE,MAESTRO MR-072 electric kettle 1 L 1200 W White
MR-035-WHITE,Maestro,NEW,11.16,47,ON-SITE,MAESTRO electric kettle 1 7l MR-035-WHITE
MR-009-BEIGE,Maestro,NEW,11.98,46,ON-SITE,Electric kettle / travel pot Maestro MR-009 0.8 L 600 W (MR-009-BEIGE) Beige
KI772D38,Tefal,NEW,32.49,46,ON-SITE,Tefal KI772D electric kettle 1.7 L 2400 W Stainless steel Transparent
1230000201148,FELLOW,NEW,152.61,46,ON-SITE,Fellow Stagg EKG Pro 0.9L green electric kettle
MR-082,Maestro,NEW,28.55,46,ON-SITE,Water Boiler MAESTRO MR-082 3.3 L 750 W
MR-012-GREY,Maestro,NEW,9.24,46,ON-SITE,Electric Kettle MAESTRO MR-012-GREY 1 L 1100 W
KLF04PGEU,SMEG,NEW,134.29,45,ON-SITE,Smeg 50's Style Kettles KLF04PGEU Pastel Green
KLF04WHEU,SMEG,NEW,134.3,44,ON-SITE,Smeg 50's Style Kettles KLF04WHEU White
MR-055-BLACK,Maestro,NEW,11.08,44,ON-SITE,MAESTRO MR-055 electric kettle 1 L 1100 W (MR-055-BLACK) Black
CB-1701B,Ravanson,NEW,18.5,44,ON-SITE,Ravanson CB-1701B electric kettle 1.7 L 2200 W Black
TWK7L460,BOSCH,NEW,33.02,44,ON-SITE,Bosch TWK7L460 electric kettle 1.7 L 2400 W Stainless steel
TWK1M121,BOSCH,NEW,27.56,43,ON-SITE,Bosch TWK1M121 electric kettle 1.7 L 2400 W White
AD 1225,Adler,NEW,15.36,43,ON-SITE,Adler AD 1225 electric kettle 1.7 L Black Stainless steel Transparent 2200 W
MR-028-GREEN,Maestro,NEW,9.28,42,ON-SITE,Maestro MR-028-Green Electric Kettle 1 L
5KEK1701EAC,KitchenAid,NEW,131.41,42,ON-SITE,KitchenAid 5KEK1701EAC electric kettle 1.7 L 2400 W Cream
MR-028-BLUE,Maestro,NEW,9.01,40,ON-SITE,Maestro MR-028-Blue Electric Kettle 1 L
KI513D10,Tefal,NEW,29.83,40,ON-SITE,TEFAL BRONX 1.7l electric kettle KI513D
KI605830,Tefal,NEW,36.63,40,ON-SITE,Tefal Glass Kettle KI605830 electric kettle 1.7 L 2200 W Black Silver Transparent
5KEK1701ESX,KitchenAid,NEW,128.9,39,ON-SITE,KitchenAid 5KEK1701ESX electric kettle 1.7 L 2400 W Stainless steel
MR-045-BLAC,Maestro,NEW,12.05,36,ON-SITE,Electric Kettle 1.7L 2200W MR-045-BLACK MAESTRO
MR-069-WHITE,Maestro,NEW,24.92,35,ON-SITE,MAESTRO MR-069 electric kettle 1 5 l 1500W (MR-069-WHITE)
5KEK1522EIB,KitchenAid,NEW,147.18,34,ON-SITE,KitchenAid 5KEK1522EIB electric kettle 1.5 L 2400 W Blue
MR-073,Maestro,NEW,24.8,34,ON-SITE,Maestro MR-073 electric kettle 1.2 L 1200 W White
MR-076,Maestro,NEW,31.23,34,ON-SITE,Maestro MR-076 electric kettle 1.8 L 1800 W White Wood
KI583C10,Tefal,NEW,38.1,34,ON-SITE,Tefal KI583C copper electric kettle
442.2,SMAPP,NEW,35.01,33,ON-SITE,1.7L cordless kettle SMAPP Black
1220000880627,FELLOW,NEW,158.77,33,ON-SITE,Fellow Stagg EKG PRO 900ml electric kettle in stone blue with a walnut-coloured handle
1220000880573,FELLOW,NEW,158.68,32,ON-SITE,Fellow Stagg EKG PRO 900ml electric kettle in sesame beige with a wooden handle
5KEK1701EBM,KitchenAid,NEW,126.19,30,ON-SITE,KitchenAid 5KEK1701EBM electric kettle 1.7 L 2400 W Black
MR-026-BLACK,Maestro,NEW,13.59,30,ON-SITE,1.7L electric kettle MR-026-BLACK MAESTRO
MR-055-WHITE,Maestro,NEW,11.36,29,ON-SITE,MAESTRO MR-055 electric kettle 1 L 1100 W (MR-055-WHITE) White
KO251430,Tefal,NEW,28.73,29,ON-SITE,Tefal Loft KO251430 electric kettle 1.7 L Blue
WK 3834,Clatronic,NEW,8.15,29,ON-SITE,Clatronic WK 3834 electric kettle 1 L 900 W Black
5KEK1522EPT,KitchenAid,NEW,147.95,28,ON-SITE,KitchenAid 5KEK1522EPT electric kettle 1.5 L 2400 W Green
KO2501,Tefal,NEW,30.37,27,ON-SITE,Tefal KO250130 electric kettle 1.7 L 2400 W White
RK3305,CONCEPT,NEW,47.02,27,ON-SITE,CONCEPT Electric Kettle RK3305
TWK1M124,BOSCH,NEW,29,26,ON-SITE,Bosch MyMoment electric kettle 1.7 L 2400 W Red
TWK3M127,BOSCH,NEW,40.42,26,ON-SITE,Bosch TWK3M127 MyMoment 2400 W electric kettle beige
MR-049,Maestro,NEW,19.67,25,ON-SITE,MAESTRO MR-049 electric kettle
MR-075,Maestro,NEW,32.63,22,ON-SITE,MAESTRO MR-075 ceramic electric kettle
1230000201056,FELLOW,NEW,131.29,21,ON-SITE,FELLOW STAGG EKG PRO WHITE MATT ELECTRIC KETTLE
MR-026-WHITE,Maestro,NEW,13.38,21,ON-SITE,Electric kettle Maestro MR-026 (MR-026-WHITE) White
MR-069-BLACK,Maestro,NEW,23.27,20,ON-SITE,Maestro MR-069 electric kettle 1.5 L 1500 W Black
KLF05PGEU,SMEG,NEW,86.42,20,ON-SITE,Smeg 50's Style Kettles KLF05PGEU Pastel Green
RK3301,CONCEPT,NEW,45.67,20,ON-SITE,Electric kettle Double Wall 1 5 L Concept Black RK 3301
RK3370,CONCEPT,NEW,37.25,20,ON-SITE,ELECTRIC KETTLE RK3370 CONCEPT
63433,PROFICOOK,NEW,16.48,19,ON-SITE,ProfiCook PC-WKS 1228 G electric kettle 0.5 L 1100 W Stainless steel Transparent
WK 3834,Clatronic,NEW,7.94,19,ON-SITE,Clatronic WK 3834 electric kettle 1 L 900 W White
WK 3835,Clatronic,NEW,8.69,19,ON-SITE,Clatronic WK 3835 electric kettle 1.7 L 2200 W White
MR-037-GREY,Maestro,NEW,14.73,18,ON-SITE,Maestro MR-037 electric kettle 1.7 L 1800 W (MR-037-GREY) Grey
5KEK1701EPT,KitchenAid,NEW,131.6,18,ON-SITE,KitchenAid 5KEK1701EPT electric kettle 1.7 L 2400 W Green
MR-058-WHITE,Maestro,NEW,9.76,18,ON-SITE,Maestro MR-058-White Electric Kettle 1 8 L
RK3385,CONCEPT,NEW,28.6,18,ON-SITE,Concept RK-3385 Electric kettle 1.7 L 2200 W Black
KO3558E0,Tefal,NEW,29.85,18,ON-SITE,Tefal Soleil KO3558E0 electric kettle 1.7 L 2400 W Black
KI871DE0,Tefal,NEW,60.49,18,ON-SITE,Tefal Selection KI871DE0 electric kettle 1.7 L 1500 W Black Stainless steel
KLF03CREU,SMEG,NEW,113.38,17,ON-SITE,Smeg 50's Style Kettles KLF03CREU Cream
TWK7L463,BOSCH,NEW,37.4,17,ON-SITE,Bosch electric kettle TWK 7L463
